clause_id,source_id,book_title,canonical_clause_no,text_type,chapter,six_channel,original_text,normalized_text,formula_names,check_source_attribution,check_clause_number,check_textual_boundary,check_original_text,check_chapter,check_formula_reference,check_source_position,review_status,corrected_field,original_value,corrected_value,reviewer_id,review_date,reason,notes
SHL_SONGBEN_0019,SHSRC0033,傷寒論（宋本）,19.0,original_clause,辨太陽病脈證並治上,太陽病,凡服桂枝湯吐者，其後必吐膿血也。,凡服桂枝湯吐者，其後必吐膿血也。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0020,SHSRC0033,傷寒論（宋本）,20.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。,太陽病，發汗，遂漏不止，其人惡風，小便難，四肢微急，難以屈伸者，桂枝加附子湯主之。,['桂枝加附子湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0021,SHSRC0033,傷寒論（宋本）,21.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，下之後，脈促胸滿者，桂枝去芍藥湯主之。,太陽病，下之後，脈促胸滿者，桂枝去芍藥湯主之。,['桂枝去芍藥湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0022,SHSRC0033,傷寒論（宋本）,22.0,original_clause,辨太陽病脈證並治上,太陽病,若微寒者，桂枝去芍藥加附子湯主之。,若微寒者，桂枝去芍藥加附子湯主之。,['桂枝去芍藥加附子湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0023,SHSRC0033,傷寒論（宋本）,23.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更下、更吐也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。,太陽病，得之八九日，如瘧狀，發熱惡寒，熱多寒少，其人不嘔，清便欲自可，一日二三度發。脈微緩者，為欲愈也；脈微而惡寒者，此陰陽俱虛，不可更發汗、更下、更吐也；面色反有熱色者，未欲解也，以其不能得小汗出，身必癢，宜桂枝麻黃各半湯。,['桂枝麻黃各半湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0024,SHSRC0033,傷寒論（宋本）,24.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，初服桂枝湯，反煩不解者，先刺風池、風府，卻與桂枝湯則愈。,太陽病，初服桂枝湯，反煩不解者，先刺風池、風府，卻與桂枝湯則愈。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0025,SHSRC0033,傷寒論（宋本）,25.0,original_clause,辨太陽病脈證並治上,太陽病,服桂枝湯，大汗出，脈洪大者，與桂枝湯，如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,服桂枝湯，大汗出，脈洪大者，與桂枝湯，如前法。若形似瘧，一日再發者，汗出必解，宜桂枝二麻黃一湯。,"['桂枝二麻黃一湯', '桂枝湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0026,SHSRC0033,傷寒論（宋本）,26.0,original_clause,辨太陽病脈證並治上,太陽病,服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,服桂枝湯，大汗出後，大煩渴不解，脈洪大者，白虎加人參湯主之。,"['白虎加人參湯', '桂枝湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0027,SHSRC0033,傷寒論（宋本）,27.0,original_clause,辨太陽病脈證並治上,太陽病,太陽病，發熱惡寒，熱多寒少，脈微弱者，此無陽也，不可發汗，宜桂枝二越婢一湯。,太陽病，發熱惡寒，熱多寒少，脈微弱者，此無陽也，不可發汗，宜桂枝二越婢一湯。,['桂枝二越婢一湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0028,SHSRC0033,傷寒論（宋本）,28.0,original_clause,辨太陽病脈證並治上,太陽病,服桂枝湯，或下之，仍頭項強痛，翕翕發熱，無汗，心下滿微痛，小便不利者，桂枝去桂加茯苓白朮湯主之。,服桂枝湯，或下之，仍頭項強痛，翕翕發熱，無汗，心下滿微痛，小便不利者，桂枝去桂加茯苓白朮湯主之。,"['桂枝去桂加茯苓白朮湯', '桂枝湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0029,SHSRC0033,傷寒論（宋本）,29.0,original_clause,辨太陽病脈證並治上,太陽病,傷寒，脈浮，自汗出，小便數，心煩，微惡寒，腳攣急，反與桂枝欲攻其表，此誤也。得之便厥，咽中乾，煩躁吐逆者，作甘草乾薑湯與之，以復其陽。若厥愈足溫者，更作芍藥甘草湯與之，其腳即伸。若胃氣不和，譫語者，少與調胃承氣湯。若重發汗，復加燒針者，四逆湯主之。,傷寒，脈浮，自汗出，小便數，心煩，微惡寒，腳攣急，反與桂枝欲攻其表，此誤也。得之便厥，咽中乾，煩躁吐逆者，作甘草乾薑湯與之，以復其陽。若厥愈足溫者，更作芍藥甘草湯與之，其腳即伸。若胃氣不和，譫語者，少與調胃承氣湯。若重發汗，復加燒針者，四逆湯主之。,"['甘草乾薑湯', '芍藥甘草湯', '調胃承氣湯', '四逆湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0030,SHSRC0033,傷寒論（宋本）,30.0,original_clause,辨太陽病脈證並治上,太陽病,問曰：證象陽旦，按法治之而增劇，厥逆，咽中乾，兩脛拘急而譫語。師曰：言夜半手足當溫，兩腳當伸。後如師言。何以知此？答曰：寸口脈浮而大，浮為風，大為虛，風則生微熱，虛則兩脛攣，病形象桂枝，因加附子參其間，增桂令汗出，附子溫經，亡陽故也。厥逆，咽中乾，煩躁，陽明內結，譫語煩亂，更飲甘草乾薑湯，夜半陽氣還，兩足當熱，脛尚微拘急，重與芍藥甘草湯，爾乃脛伸。以承氣湯微溏，則止其譫語，故知病可愈。,問曰：證象陽旦，按法治之而增劇，厥逆，咽中乾，兩脛拘急而譫語。師曰：言夜半手足當溫，兩腳當伸。後如師言。何以知此？答曰：寸口脈浮而大，浮為風，大為虛，風則生微熱，虛則兩脛攣，病形象桂枝，因加附子參其間，增桂令汗出，附子溫經，亡陽故也。厥逆，咽中乾，煩躁，陽明內結，譫語煩亂，更飲甘草乾薑湯，夜半陽氣還，兩足當熱，脛尚微拘急，重與芍藥甘草湯，爾乃脛伸。以承氣湯微溏，則止其譫語，故知病可愈。,"['甘草乾薑湯', '芍藥甘草湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0031,SHSRC0033,傷寒論（宋本）,31.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，項背強几几，無汗惡風，葛根湯主之。,太陽病，項背強几几，無汗惡風，葛根湯主之。,['葛根湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0032,SHSRC0033,傷寒論（宋本）,32.0,original_clause,辨太陽病脈證並治中,太陽病,太陽與陽明合病者，必自下利，葛根湯主之。,太陽與陽明合病者，必自下利，葛根湯主之。,['葛根湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0033,SHSRC0033,傷寒論（宋本）,33.0,original_clause,辨太陽病脈證並治中,太陽病,太陽與陽明合病，不下利，但嘔者，葛根加半夏湯主之。,太陽與陽明合病，不下利，但嘔者，葛根加半夏湯主之。,['葛根加半夏湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0034,SHSRC0033,傷寒論（宋本）,34.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，桂枝證，醫反下之，利遂不止。脈促者，表未解也。喘而汗出者，葛根黃芩黃連湯主之。,太陽病，桂枝證，醫反下之，利遂不止。脈促者，表未解也。喘而汗出者，葛根黃芩黃連湯主之。,['葛根黃芩黃連湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0035,SHSRC0033,傷寒論（宋本）,35.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，頭痛，發熱，身疼，腰痛，骨節疼痛，惡風，無汗而喘者，麻黃湯主之。,太陽病，頭痛，發熱，身疼，腰痛，骨節疼痛，惡風，無汗而喘者，麻黃湯主之。,['麻黃湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0036,SHSRC0033,傷寒論（宋本）,36.0,original_clause,辨太陽病脈證並治中,太陽病,太陽與陽明合病，喘而胸滿者，不可下，宜麻黃湯。,太陽與陽明合病，喘而胸滿者，不可下，宜麻黃湯。,['麻黃湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0037,SHSRC0033,傷寒論（宋本）,37.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，十日已去，脈浮細而嗜臥者，外已解也。設胸滿脇痛者，與小柴胡湯；脈但浮者，與麻黃湯。,太陽病，十日已去，脈浮細而嗜臥者，外已解也。設胸滿脇痛者，與小柴胡湯；脈但浮者，與麻黃湯。,"['小柴胡湯', '麻黃湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0038,SHSRC0033,傷寒論（宋本）,38.0,original_clause,辨太陽病脈證並治中,太陽病,太陽中風，脈浮緊，發熱惡寒，身疼痛，不汗出而煩躁者，大青龍湯主之。若脈微弱，汗出惡風者，不可服之，服之則厥逆，筋惕肉瞤，此為逆也。,太陽中風，脈浮緊，發熱惡寒，身疼痛，不汗出而煩躁者，大青龍湯主之。若脈微弱，汗出惡風者，不可服之，服之則厥逆，筋惕肉瞤，此為逆也。,['大青龍湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0039,SHSRC0033,傷寒論（宋本）,39.0,original_clause,辨太陽病脈證並治中,太陽病,傷寒脈浮緩，身不疼，但重，乍有輕時，無少陰證者，大青龍湯發之。,傷寒脈浮緩，身不疼，但重，乍有輕時，無少陰證者，大青龍湯發之。,['大青龍湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0040,SHSRC0033,傷寒論（宋本）,40.0,original_clause,辨太陽病脈證並治中,太陽病,傷寒表不解，心下有水氣，乾嘔，發熱而欬，或渴，或利，或噎，或小便不利，少腹滿，或喘者，小青龍湯主之。,傷寒表不解，心下有水氣，乾嘔，發熱而欬，或渴，或利，或噎，或小便不利，少腹滿，或喘者，小青龍湯主之。,['小青龍湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0041,SHSRC0033,傷寒論（宋本）,41.0,original_clause,辨太陽病脈證並治中,太陽病,傷寒心下有水氣，欬而微喘，發熱不渴。服湯已，渴者，此寒去欲解也。小青龍湯主之。,傷寒心下有水氣，欬而微喘，發熱不渴。服湯已，渴者，此寒去欲解也。小青龍湯主之。,['小青龍湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0042,SHSRC0033,傷寒論（宋本）,42.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，外證未解，脈浮弱者，當以汗解，宜桂枝湯。,太陽病，外證未解，脈浮弱者，當以汗解，宜桂枝湯。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0043,SHSRC0033,傷寒論（宋本）,43.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，下之微喘者，表未解故也，桂枝加厚朴杏子湯主之。,太陽病，下之微喘者，表未解故也，桂枝加厚朴杏子湯主之。,['桂枝加厚朴杏子湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0044,SHSRC0033,傷寒論（宋本）,44.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，外證未解，不可下也，下之為逆。欲解外者，宜桂枝湯。,太陽病，外證未解，不可下也，下之為逆。欲解外者，宜桂枝湯。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0045,SHSRC0033,傷寒論（宋本）,45.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，先發汗不解，而復下之，脈浮者不愈。浮為在外，而反下之，故令不愈。今脈浮，故在外，當須解外則愈，宜桂枝湯。,太陽病，先發汗不解，而復下之，脈浮者不愈。浮為在外，而反下之，故令不愈。今脈浮，故在外，當須解外則愈，宜桂枝湯。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0046,SHSRC0033,傷寒論（宋本）,46.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，脈浮緊，無汗，發熱，身疼痛，八九日不解，表證仍在，此當發其汗。服藥已微除，其人發煩目瞑，劇者必衄，衄乃解。所以然者，陽氣重故也，麻黃湯主之。,太陽病，脈浮緊，無汗，發熱，身疼痛，八九日不解，表證仍在，此當發其汗。服藥已微除，其人發煩目瞑，劇者必衄，衄乃解。所以然者，陽氣重故也，麻黃湯主之。,['麻黃湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0047,SHSRC0033,傷寒論（宋本）,47.0,original_clause,辨太陽病脈證並治中,太陽病,太陽病，脈浮緊，發熱，身無汗，自衄者愈。,太陽病，脈浮緊，發熱，身無汗，自衄者愈。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0048,SHSRC0033,傷寒論（宋本）,48.0,original_clause,辨太陽病脈證並治中,太陽病,二陽併病，太陽初得病時，發其汗，汗先出不徹，因轉屬陽明，續自微汗出，不惡寒。若太陽病證不罷者，不可下，下之為逆，如此可小發汗。設面色緣緣正赤者，陽氣怫鬱在表，當解之，熏之。若發汗不徹，不足言，陽氣怫鬱不得越，當汗不汗，其人躁煩，不知痛處，乍在腹中，乍在四肢，按之不可得，其人短氣但坐，以汗出不徹故也。更發汗則愈，何以知汗出不徹？以脈濇故知也。,二陽併病，太陽初得病時，發其汗，汗先出不徹，因轉屬陽明，續自微汗出，不惡寒。若太陽病證不罷者，不可下，下之為逆，如此可小發汗。設面色緣緣正赤者，陽氣怫鬱在表，當解之，熏之。若發汗不徹，不足言，陽氣怫鬱不得越，當汗不汗，其人躁煩，不知痛處，乍在腹中，乍在四肢，按之不可得，其人短氣但坐，以汗出不徹故也。更發汗則愈，何以知汗出不徹？以脈濇故知也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0049,SHSRC0033,傷寒論（宋本）,49.0,original_clause,辨太陽病脈證並治中,太陽病,脈浮數者，法當汗出而愈。若下之，身重心悸者，不可發汗，當自汗出乃解。所以然者，尺中脈微，此裏虛。須表裏實，津液自和，便自汗出愈。,脈浮數者，法當汗出而愈。若下之，身重心悸者，不可發汗，當自汗出乃解。所以然者，尺中脈微，此裏虛。須表裏實，津液自和，便自汗出愈。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0050,SHSRC0033,傷寒論（宋本）,50.0,original_clause,辨太陽病脈證並治中,太陽病,脈浮緊者，法當身疼痛，宜以汗解之，假令尺中遲者，不可發汗，何以知然？以榮氣不足，血少故也。,脈浮緊者，法當身疼痛，宜以汗解之，假令尺中遲者，不可發汗，何以知然？以榮氣不足，血少故也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0051,SHSRC0033,傷寒論（宋本）,51.0,original_clause,辨太陽病脈證並治中,太陽病,脈浮者，病在表，可發汗，宜麻黃湯。,脈浮者，病在表，可發汗，宜麻黃湯。,['麻黃湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0052,SHSRC0033,傷寒論（宋本）,52.0,original_clause,辨太陽病脈證並治中,太陽病,脈浮而數者，可發汗，宜麻黃湯。,脈浮而數者，可發汗，宜麻黃湯。,['麻黃湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0053,SHSRC0033,傷寒論（宋本）,53.0,original_clause,辨太陽病脈證並治中,太陽病,病常自汗出者，此為榮氣和，榮氣和者，外不諧，以衛氣不共榮氣諧和故爾。以榮行脈中，衛行脈外，復發其汗，榮衛和則愈，宜桂枝湯。,病常自汗出者，此為榮氣和，榮氣和者，外不諧，以衛氣不共榮氣諧和故爾。以榮行脈中，衛行脈外，復發其汗，榮衛和則愈，宜桂枝湯。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0054,SHSRC0033,傷寒論（宋本）,54.0,original_clause,辨太陽病脈證並治中,太陽病,病人藏無他病，時發熱、自汗出而不愈者，此衛氣不和也。先其時發汗則愈，宜桂枝湯。,病人藏無他病，時發熱、自汗出而不愈者，此衛氣不和也。先其時發汗則愈，宜桂枝湯。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0055,SHSRC0033,傷寒論（宋本）,55.0,original_clause,辨太陽病脈證並治中,太陽病,傷寒脈浮緊，不發汗，因致衄者，麻黃湯主之。,傷寒脈浮緊，不發汗，因致衄者，麻黃湯主之。,['麻黃湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0056,SHSRC0033,傷寒論（宋本）,56.0,original_clause,辨太陽病脈證並治中,太陽病,傷寒不大便六七日，頭痛有熱者，與承氣湯；其小便清者，知不在裏，仍在表也，當須發汗，若頭痛者，必衄，宜桂枝湯。,傷寒不大便六七日，頭痛有熱者，與承氣湯；其小便清者，知不在裏，仍在表也，當須發汗，若頭痛者，必衄，宜桂枝湯。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0057,SHSRC0033,傷寒論（宋本）,57.0,original_clause,辨太陽病脈證並治中,太陽病,傷寒發汗已解，半日許復煩，脈浮數者，可更發汗，宜桂枝湯。,傷寒發汗已解，半日許復煩，脈浮數者，可更發汗，宜桂枝湯。,['桂枝湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0058,SHSRC0033,傷寒論（宋本）,58.0,original_clause,辨太陽病脈證並治中,太陽病,凡病，若發汗，若吐，若下，若亡血，亡津液，陰陽自和者，必自愈。,凡病，若發汗，若吐，若下，若亡血，亡津液，陰陽自和者，必自愈。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0059,SHSRC0033,傷寒論（宋本）,59.0,original_clause,辨太陽病脈證並治中,太陽病,大下之後，復發汗，小便不利者，亡津液故也。勿治之，得小便利，必自愈。,大下之後，復發汗，小便不利者，亡津液故也。勿治之，得小便利，必自愈。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0060,SHSRC0033,傷寒論（宋本）,60.0,original_clause,辨太陽病脈證並治中,太陽病,下之後，復發汗，必振寒，脈微細。所以然者，以內外俱虛故也。,下之後，復發汗，必振寒，脈微細。所以然者，以內外俱虛故也。,[],,,,,,,,,,,,,,,
SHL_SONGBEN_0061,SHSRC0033,傷寒論（宋本）,61.0,original_clause,辨太陽病脈證並治中,太陽病,下之後，復發汗，晝日煩躁不得眠，夜而安靜，不嘔不渴，無表證，脈沉微，身無大熱者，乾薑附子湯主之。,下之後，復發汗，晝日煩躁不得眠，夜而安靜，不嘔不渴，無表證，脈沉微，身無大熱者，乾薑附子湯主之。,['乾薑附子湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0062,SHSRC0033,傷寒論（宋本）,62.0,original_clause,辨太陽病脈證並治中,太陽病,發汗後，身疼痛，脈沉遲者，桂枝加芍藥生薑各一兩，人參三兩新加湯主之。,發汗後，身疼痛，脈沉遲者，桂枝加芍藥生薑各一兩，人參三兩新加湯主之。,['桂枝加芍藥生薑各一兩人參三兩新加湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0063,SHSRC0033,傷寒論（宋本）,63.0,original_clause,辨太陽病脈證並治中,太陽病,發汗後，不可更行桂枝湯，汗出而喘，無大熱者，可與麻黃杏仁甘草石膏湯。,發汗後，不可更行桂枝湯，汗出而喘，無大熱者，可與麻黃杏仁甘草石膏湯。,"['麻黃杏仁甘草石膏湯', '桂枝湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0064,SHSRC0033,傷寒論（宋本）,64.0,original_clause,辨太陽病脈證並治中,太陽病,發汗過多，其人叉手自冒心，心下悸，欲得按者，桂枝甘草湯主之。,發汗過多，其人叉手自冒心，心下悸，欲得按者，桂枝甘草湯主之。,"['桂技甘草湯', '桂枝甘草湯']",,,,,,,,,,,,,,,
SHL_SONGBEN_0065,SHSRC0033,傷寒論（宋本）,65.0,original_clause,辨太陽病脈證並治中,太陽病,發汗後，其人臍下悸者，欲作奔豚，茯苓桂枝甘草大棗湯主之。,發汗後，其人臍下悸者，欲作奔豚，茯苓桂枝甘草大棗湯主之。,['茯苓桂枝甘草大棗湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0066,SHSRC0033,傷寒論（宋本）,66.0,original_clause,辨太陽病脈證並治中,太陽病,發汗後，腹脹滿者，厚朴生薑半夏甘草人參湯主之。,發汗後，腹脹滿者，厚朴生薑半夏甘草人參湯主之。,['厚朴生薑半夏甘草人參湯'],,,,,,,,,,,,,,,
SHL_SONGBEN_0067,SHSRC0033,傷寒論（宋本）,67.0,original_clause,辨太陽病脈證並治中,太陽病,傷寒，若吐若下後，心下逆滿，氣上衝胸，起則頭眩，脈沉緊，發汗則動經，身為振振搖者，茯苓桂枝白朮甘草湯主之。,傷寒，若吐若下後，心下逆滿，氣上衝胸，起則頭眩，脈沉緊，發汗則動經，身為振振搖者，茯苓桂枝白朮甘草湯主之。,['茯苓桂枝白朮甘草湯'],,,,,,,,,,,,,,,
