relation_id,source_node_id,source_node_type,target_node_id,target_node_type,relation_type,description,target_citation,check_source_node,check_target_node,check_relation_type,check_evidence_source,review_status,corrected_field,original_value,corrected_value,reviewer_id,review_date,reason,notes
REL_00036,SHL_SONGBEN_0037,clause,SHL_SONGBEN_0038,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00037,SHL_SONGBEN_0038,clause,SHL_SONGBEN_0039,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00038,SHL_SONGBEN_0039,clause,SHL_SONGBEN_0040,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00039,SHL_SONGBEN_0040,clause,SHL_SONGBEN_0041,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00040,SHL_SONGBEN_0041,clause,SHL_SONGBEN_0042,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00041,SHL_SONGBEN_0042,clause,SHL_SONGBEN_0043,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00042,SHL_SONGBEN_0043,clause,SHL_SONGBEN_0044,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00043,SHL_SONGBEN_0044,clause,SHL_SONGBEN_0045,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00044,SHL_SONGBEN_0045,clause,SHL_SONGBEN_0046,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00045,SHL_SONGBEN_0046,clause,SHL_SONGBEN_0047,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00046,SHL_SONGBEN_0047,clause,SHL_SONGBEN_0048,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00047,SHL_SONGBEN_0048,clause,SHL_SONGBEN_0049,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00048,SHL_SONGBEN_0049,clause,SHL_SONGBEN_0050,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00049,SHL_SONGBEN_0050,clause,SHL_SONGBEN_0051,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00050,SHL_SONGBEN_0051,clause,SHL_SONGBEN_0052,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00051,SHL_SONGBEN_0052,clause,SHL_SONGBEN_0053,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00052,SHL_SONGBEN_0053,clause,SHL_SONGBEN_0054,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00053,SHL_SONGBEN_0054,clause,SHL_SONGBEN_0055,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00054,SHL_SONGBEN_0055,clause,SHL_SONGBEN_0056,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00055,SHL_SONGBEN_0056,clause,SHL_SONGBEN_0057,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00056,SHL_SONGBEN_0057,clause,SHL_SONGBEN_0058,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00057,SHL_SONGBEN_0058,clause,SHL_SONGBEN_0059,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00058,SHL_SONGBEN_0059,clause,SHL_SONGBEN_0060,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00059,SHL_SONGBEN_0060,clause,SHL_SONGBEN_0061,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00060,SHL_SONGBEN_0061,clause,SHL_SONGBEN_0062,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00061,SHL_SONGBEN_0062,clause,SHL_SONGBEN_0063,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00062,SHL_SONGBEN_0063,clause,SHL_SONGBEN_0064,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00063,SHL_SONGBEN_0064,clause,SHL_SONGBEN_0065,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00064,SHL_SONGBEN_0065,clause,SHL_SONGBEN_0066,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00065,SHL_SONGBEN_0066,clause,SHL_SONGBEN_0067,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00066,SHL_SONGBEN_0067,clause,SHL_SONGBEN_0068,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00067,SHL_SONGBEN_0068,clause,SHL_SONGBEN_0069,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00068,SHL_SONGBEN_0069,clause,SHL_SONGBEN_0070,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00069,SHL_SONGBEN_0070,clause,SHL_SONGBEN_0071,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00070,SHL_SONGBEN_0071,clause,SHL_SONGBEN_0072,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00071,SHL_SONGBEN_0072,clause,SHL_SONGBEN_0073,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00072,SHL_SONGBEN_0073,clause,SHL_SONGBEN_0074,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00073,SHL_SONGBEN_0074,clause,SHL_SONGBEN_0075,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00074,SHL_SONGBEN_0075,clause,SHL_SONGBEN_0076,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00075,SHL_SONGBEN_0076,clause,SHL_SONGBEN_0077,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00076,SHL_SONGBEN_0077,clause,SHL_SONGBEN_0078,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00077,SHL_SONGBEN_0078,clause,SHL_SONGBEN_0079,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00078,SHL_SONGBEN_0079,clause,SHL_SONGBEN_0080,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00079,SHL_SONGBEN_0080,clause,SHL_SONGBEN_0081,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00080,SHL_SONGBEN_0081,clause,SHL_SONGBEN_0082,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00081,SHL_SONGBEN_0082,clause,SHL_SONGBEN_0083,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00082,SHL_SONGBEN_0083,clause,SHL_SONGBEN_0084,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00083,SHL_SONGBEN_0084,clause,SHL_SONGBEN_0085,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00084,SHL_SONGBEN_0085,clause,SHL_SONGBEN_0086,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00085,SHL_SONGBEN_0086,clause,SHL_SONGBEN_0087,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00086,SHL_SONGBEN_0087,clause,SHL_SONGBEN_0088,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00087,SHL_SONGBEN_0088,clause,SHL_SONGBEN_0089,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00088,SHL_SONGBEN_0089,clause,SHL_SONGBEN_0090,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00089,SHL_SONGBEN_0090,clause,SHL_SONGBEN_0091,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00090,SHL_SONGBEN_0091,clause,SHL_SONGBEN_0092,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00091,SHL_SONGBEN_0092,clause,SHL_SONGBEN_0093,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00092,SHL_SONGBEN_0093,clause,SHL_SONGBEN_0094,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00093,SHL_SONGBEN_0094,clause,SHL_SONGBEN_0095,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00094,SHL_SONGBEN_0095,clause,SHL_SONGBEN_0096,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00095,SHL_SONGBEN_0096,clause,SHL_SONGBEN_0097,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00096,SHL_SONGBEN_0097,clause,SHL_SONGBEN_0098,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00097,SHL_SONGBEN_0098,clause,SHL_SONGBEN_0099,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00098,SHL_SONGBEN_0099,clause,SHL_SONGBEN_0100,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00099,SHL_SONGBEN_0100,clause,SHL_SONGBEN_0101,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00100,SHL_SONGBEN_0101,clause,SHL_SONGBEN_0102,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00101,SHL_SONGBEN_0102,clause,SHL_SONGBEN_0103,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00102,SHL_SONGBEN_0103,clause,SHL_SONGBEN_0104,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00103,SHL_SONGBEN_0104,clause,SHL_SONGBEN_0105,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00104,SHL_SONGBEN_0105,clause,SHL_SONGBEN_0106,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00105,SHL_SONGBEN_0106,clause,SHL_SONGBEN_0107,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00106,SHL_SONGBEN_0107,clause,SHL_SONGBEN_0108,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00107,SHL_SONGBEN_0108,clause,SHL_SONGBEN_0109,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00108,SHL_SONGBEN_0109,clause,SHL_SONGBEN_0110,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00109,SHL_SONGBEN_0110,clause,SHL_SONGBEN_0111,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00110,SHL_SONGBEN_0111,clause,SHL_SONGBEN_0112,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00111,SHL_SONGBEN_0112,clause,SHL_SONGBEN_0113,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00112,SHL_SONGBEN_0113,clause,SHL_SONGBEN_0114,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00113,SHL_SONGBEN_0114,clause,SHL_SONGBEN_0115,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00114,SHL_SONGBEN_0115,clause,SHL_SONGBEN_0116,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00115,SHL_SONGBEN_0116,clause,SHL_SONGBEN_0117,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00116,SHL_SONGBEN_0117,clause,SHL_SONGBEN_0118,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00117,SHL_SONGBEN_0118,clause,SHL_SONGBEN_0119,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00118,SHL_SONGBEN_0119,clause,SHL_SONGBEN_0120,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00119,SHL_SONGBEN_0120,clause,SHL_SONGBEN_0121,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00120,SHL_SONGBEN_0121,clause,SHL_SONGBEN_0122,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00121,SHL_SONGBEN_0122,clause,SHL_SONGBEN_0123,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00122,SHL_SONGBEN_0123,clause,SHL_SONGBEN_0124,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00123,SHL_SONGBEN_0124,clause,SHL_SONGBEN_0125,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00124,SHL_SONGBEN_0125,clause,SHL_SONGBEN_0126,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00125,SHL_SONGBEN_0126,clause,SHL_SONGBEN_0127,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00126,SHL_SONGBEN_0128,clause,SHL_SONGBEN_0129,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00127,SHL_SONGBEN_0129,clause,SHL_SONGBEN_0130,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00128,SHL_SONGBEN_0130,clause,SHL_SONGBEN_0131,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00129,SHL_SONGBEN_0131,clause,SHL_SONGBEN_0132,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00130,SHL_SONGBEN_0132,clause,SHL_SONGBEN_0133,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00131,SHL_SONGBEN_0133,clause,SHL_SONGBEN_0134,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00132,SHL_SONGBEN_0134,clause,SHL_SONGBEN_0135,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00133,SHL_SONGBEN_0135,clause,SHL_SONGBEN_0136,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00134,SHL_SONGBEN_0136,clause,SHL_SONGBEN_0137,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00135,SHL_SONGBEN_0137,clause,SHL_SONGBEN_0138,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00136,SHL_SONGBEN_0138,clause,SHL_SONGBEN_0139,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00137,SHL_SONGBEN_0139,clause,SHL_SONGBEN_0140,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00138,SHL_SONGBEN_0140,clause,SHL_SONGBEN_0141,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00139,SHL_SONGBEN_0141,clause,SHL_SONGBEN_0142,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00140,SHL_SONGBEN_0142,clause,SHL_SONGBEN_0143,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00141,SHL_SONGBEN_0143,clause,SHL_SONGBEN_0144,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00142,SHL_SONGBEN_0144,clause,SHL_SONGBEN_0145,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00143,SHL_SONGBEN_0145,clause,SHL_SONGBEN_0146,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00144,SHL_SONGBEN_0146,clause,SHL_SONGBEN_0147,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00145,SHL_SONGBEN_0147,clause,SHL_SONGBEN_0148,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00146,SHL_SONGBEN_0148,clause,SHL_SONGBEN_0149,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00147,SHL_SONGBEN_0149,clause,SHL_SONGBEN_0150,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00148,SHL_SONGBEN_0150,clause,SHL_SONGBEN_0151,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00149,SHL_SONGBEN_0151,clause,SHL_SONGBEN_0152,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00150,SHL_SONGBEN_0152,clause,SHL_SONGBEN_0153,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00151,SHL_SONGBEN_0153,clause,SHL_SONGBEN_0154,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00152,SHL_SONGBEN_0154,clause,SHL_SONGBEN_0155,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00153,SHL_SONGBEN_0155,clause,SHL_SONGBEN_0156,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00154,SHL_SONGBEN_0156,clause,SHL_SONGBEN_0157,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00155,SHL_SONGBEN_0157,clause,SHL_SONGBEN_0158,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00156,SHL_SONGBEN_0158,clause,SHL_SONGBEN_0159,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00157,SHL_SONGBEN_0159,clause,SHL_SONGBEN_0160,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00158,SHL_SONGBEN_0160,clause,SHL_SONGBEN_0161,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00159,SHL_SONGBEN_0161,clause,SHL_SONGBEN_0162,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00160,SHL_SONGBEN_0162,clause,SHL_SONGBEN_0163,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00161,SHL_SONGBEN_0163,clause,SHL_SONGBEN_0164,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00162,SHL_SONGBEN_0164,clause,SHL_SONGBEN_0165,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00163,SHL_SONGBEN_0165,clause,SHL_SONGBEN_0166,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00164,SHL_SONGBEN_0166,clause,SHL_SONGBEN_0167,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00165,SHL_SONGBEN_0167,clause,SHL_SONGBEN_0168,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00166,SHL_SONGBEN_0168,clause,SHL_SONGBEN_0169,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00167,SHL_SONGBEN_0169,clause,SHL_SONGBEN_0170,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00168,SHL_SONGBEN_0170,clause,SHL_SONGBEN_0171,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00169,SHL_SONGBEN_0171,clause,SHL_SONGBEN_0172,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00170,SHL_SONGBEN_0172,clause,SHL_SONGBEN_0173,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00171,SHL_SONGBEN_0173,clause,SHL_SONGBEN_0174,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00172,SHL_SONGBEN_0174,clause,SHL_SONGBEN_0175,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00173,SHL_SONGBEN_0175,clause,SHL_SONGBEN_0176,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00174,SHL_SONGBEN_0176,clause,SHL_SONGBEN_0177,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00175,SHL_SONGBEN_0177,clause,SHL_SONGBEN_0178,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00176,SHL_SONGBEN_0179,clause,SHL_SONGBEN_0180,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00177,SHL_SONGBEN_0180,clause,SHL_SONGBEN_0181,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00178,SHL_SONGBEN_0181,clause,SHL_SONGBEN_0182,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
REL_00179,SHL_SONGBEN_0182,clause,SHL_SONGBEN_0183,clause,sequence,同篇相鄰條文（並列/遞進語境）,,,,,,,,,,,,,
