source_id,title_zh,edition_stated,reference_copy,approximate_date,upstream_format,upstream_encoding,witness_status
SHSRC0020,傷寒標本心法類萃,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0021,傷寒法祖,not_stated_in_source,not_stated_in_source,960 1279,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0022,傷寒溯源集,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x16, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0023,傷寒發微論,not_stated_in_source,not_stated_in_source,960 1279,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0024,傷寒百證歌,not_stated_in_source,not_stated_in_source,960 1279,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0025,傷寒直格,not_stated_in_source,not_stated_in_source,1127 1279,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0026,傷寒直格,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0027,傷寒總病論,not_stated_in_source,not_stated_in_source,1100,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0028,傷寒總病論,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0029,傷寒纘論,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x6, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0030,傷寒纘論·傷寒緒論,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x11, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0031,傷寒舌鑑,not_stated_in_source,not_stated_in_source,1668,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0032,傷寒補例,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0033,傷寒論,晉·王叔和編次，宋·林億校正，明·趙開美校刻，沈琳同校,知音五版《傷寒論》,25 220,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0034,傷寒論(千金翼方),not_stated_in_source,千金翼方版《傷寒論》,25 220,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0035,傷寒論(宋本),晉·王叔和編次，宋·林億校正，明·趙開美校刻，沈琳同校,知音五版《傷寒論》,25 220,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0036,傷寒論條辨,not_stated_in_source,not_stated_in_source,1368 1644,"plain-text .txt x24, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0037,傷寒論條辨,not_stated_in_source,not_stated_in_source,1368 1644,"plain-text .txt x10, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0038,傷寒論注,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x8, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0039,傷寒論綱目,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x21, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0040,傷寒論翼,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0041,傷寒論輯義,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x12, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0042,傷寒論辯證廣注,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x18, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0043,傷寒論類方,not_stated_in_source,not_stated_in_source,1759,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0044,傷寒論類方,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0045,傷寒貫珠集,not_stated_in_source,not_stated_in_source,1729,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0046,傷寒貫珠集,not_stated_in_source,not_stated_in_source,1729,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",multiple_copies
SHSRC0047,傷寒辨要箋記,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0048,傷寒醫訣串解,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0049,傷寒附翼,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0050,傷寒雜病論(桂本),晉·王叔和編次，桂林羅哲初手抄，民間中醫經典古籍電子叢書志願編撰組恭校,not_stated_in_source,25 220 一九七九年十二月,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0051,劉河間傷寒醫鑑,not_stated_in_source,not_stated_in_source,1271 1368,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0052,張卿子傷寒論,not_stated_in_source,not_stated_in_source,1644 1911,"plain-text .txt x14, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0053,敖氏傷寒金鏡錄,not_stated_in_source,not_stated_in_source,1341,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0054,河間傷寒心要,not_stated_in_source,not_stated_in_source,1127 1279,"plain-text .txt x1, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0055,註解傷寒論,not_stated_in_source,not_stated_in_source,1144,"plain-text .txt x14, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0056,曹氏傷寒金匱發微合刊,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x48, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
SHSRC0057,經方實驗錄,not_stated_in_source,not_stated_in_source,not_stated_in_source,"plain-text .txt x104, vendor <book>/=====chapter===== markup","UTF-8 (validated, no BOM)",single_copy
