source_id,title_zh,title_translit,alternative_title,author,dynasty,dynasty_raw,approximate_date,edition,n_files,characters,language,script,work_type,collection,evidence_layer,witness_status,notes
SHSRC0029,傷寒纘論,Shang Han Zuan Lun,not_stated_in_source,張璐,Qing,清,1644 1911,not_stated_in_source,6,106736,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0030,傷寒纘論·傷寒緒論,Shang Han Zuan Lun · Shang Han Xu Lun,not_stated_in_source,張璐,Qing,清,1644 1911,not_stated_in_source,11,240234,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0031,傷寒舌鑑,Shang Han She Jian,not_stated_in_source,張登,Qing,清,1668,not_stated_in_source,1,11154,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0032,傷寒補例,Shang Han Bu Li,not_stated_in_source,周學海,Qing,清,1644 1911,not_stated_in_source,1,18510,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0033,傷寒論,Shang Han Lun,not_stated_in_source,張仲景,Eastern Han,東漢,25 220,晉·王叔和編次，宋·林億校正，明·趙開美校刻，沈琳同校,1,35333,lzh,Hant,canonical_text,shanghan,A,single_copy,
SHSRC0034,傷寒論(千金翼方),Shang Han Lun ( Qian Jin Yi Fang ),not_stated_in_source,張仲景,Eastern Han,東漢,25 220,not_stated_in_source,1,28638,lzh,Hant,variant_edition,shanghan,B,single_copy,
SHSRC0035,傷寒論(宋本),Shang Han Lun ( Song Ben ),not_stated_in_source,張仲景,Eastern Han,東漢,25 220,晉·王叔和編次，宋·林億校正，明·趙開美校刻，沈琳同校,1,50421,lzh,Hant,canonical_text,shanghan,A,single_copy,
SHSRC0036,傷寒論條辨,Shang Han Lun Tiao Bian,not_stated_in_source,方有執,Ming,明,1368 1644,not_stated_in_source,24,151532,lzh,Hant,commentary,shanghan,C,multiple_copies,
SHSRC0037,傷寒論條辨,Shang Han Lun Tiao Bian,not_stated_in_source,方有執,Ming,明,1368 1644,not_stated_in_source,10,137216,lzh,Hant,commentary,shanghan,P,multiple_copies,second digitised copy of the same title in this corpus
SHSRC0038,傷寒論注,Shang Han Lun Zhu,not_stated_in_source,柯琴,Qing,清,1644 1911,not_stated_in_source,8,108439,lzh,Hant,commentary,shanghan,C,single_copy,
SHSRC0039,傷寒論綱目,Shang Han Lun Gang Mu,not_stated_in_source,沈金鰲,Qing,清,1644 1911,not_stated_in_source,21,323485,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0040,傷寒論翼,Shang Han Lun Yi,not_stated_in_source,柯琴,Qing,清,1644 1911,not_stated_in_source,1,42273,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0041,傷寒論輯義,Shang Han Lun Ji Yi,not_stated_in_source,丹波元珍,not_stated_in_source,not_stated_in_source,not_stated_in_source,not_stated_in_source,12,255911,lzh,Hant,collation,shanghan,C,single_copy,
SHSRC0042,傷寒論辯證廣注,Shang Han Lun Bian Zheng Guang Zhu,not_stated_in_source,汪琥,Qing,清,not_stated_in_source,not_stated_in_source,18,233859,lzh,Hant,commentary,shanghan,P,single_copy,
SHSRC0043,傷寒論類方,Shang Han Lun Lei Fang,not_stated_in_source,徐靈胎,Qing,清,1759,not_stated_in_source,1,44959,lzh,Hant,formula_family,shanghan,D,multiple_copies,
SHSRC0044,傷寒論類方,Shang Han Lun Lei Fang,not_stated_in_source,徐大椿,Qing,清,not_stated_in_source,not_stated_in_source,1,45413,lzh,Hant,formula_family,shanghan,P,multiple_copies,second digitised copy of the same title in this corpus
SHSRC0045,傷寒貫珠集,Shang Han Guan Zhu Ji,not_stated_in_source,尤怡,Qing,清,1729,not_stated_in_source,1,91013,lzh,Hant,commentary,shanghan,C,multiple_copies,
SHSRC0046,傷寒貫珠集,Shang Han Guan Zhu Ji,not_stated_in_source,尤怡,Qing,清,1729,not_stated_in_source,1,91135,lzh,Hant,commentary,shanghan,P,multiple_copies,second digitised copy of the same title in this corpus
SHSRC0047,傷寒辨要箋記,Shang Han Bian Yao Jian Ji,not_stated_in_source,程門雪,not_stated_in_source,not_stated_in_source,not_stated_in_source,not_stated_in_source,1,10317,lzh,Hant,commentary,shanghan,P,single_copy,
SHSRC0048,傷寒醫訣串解,Shang Han Yi Jue Chuan Jie,not_stated_in_source,陳念祖,Qing,清,1644 1911,not_stated_in_source,1,31413,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0049,傷寒附翼,Shang Han Fu Yi,not_stated_in_source,柯琴,Qing,清,1644 1911,not_stated_in_source,1,46175,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0050,傷寒雜病論(桂本),Shang Han Za Bing Lun ( Gui Ben ),not_stated_in_source,張仲景,Eastern Han,東漢,25 220 一九七九年十二月,晉·王叔和編次，桂林羅哲初手抄，民間中醫經典古籍電子叢書志願編撰組恭校,1,92429,lzh,Hant,variant_edition,shanghan,B,single_copy,
SHSRC0051,劉河間傷寒醫鑑,Liu He Jian Shang Han Yi Jian,not_stated_in_source,馬宗素,Yuan,元,1271 1368,not_stated_in_source,1,9705,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0052,張卿子傷寒論,Zhang Qing Zi Shang Han Lun,not_stated_in_source,張卿子,Qing,清,1644 1911,not_stated_in_source,14,132496,lzh,Hant,commentary,shanghan,C,single_copy,
SHSRC0053,敖氏傷寒金鏡錄,Ao Shi Shang Han Jin Jing Lu,not_stated_in_source,杜本,Yuan,元,1341,not_stated_in_source,1,22459,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0054,河間傷寒心要,He Jian Shang Han Xin Yao,not_stated_in_source,鎦洪,Jin (1115-1234),金,1127 1279,not_stated_in_source,1,4576,lzh,Hant,not_stated_in_source,shanghan,P,single_copy,
SHSRC0055,註解傷寒論,Zhu Jie Shang Han Lun,not_stated_in_source,成無己,Jin (1115-1234),金,1144,not_stated_in_source,14,120917,lzh,Hant,commentary,shanghan,C,single_copy,
SHSRC0056,曹氏傷寒金匱發微合刊,Cao Shi Shang Han Jin Gui Fa Wei He Kan,not_stated_in_source,曹穎甫,Qing,清,not_stated_in_source,not_stated_in_source,48,291991,lzh,Hant,commentary,shanghan_jingui_combined,P,single_copy,
SHSRC0057,經方實驗錄,Jing Fang Shi Yan Lu,not_stated_in_source,曹穎甫,Qing,清,not_stated_in_source,not_stated_in_source,104,116808,lzh,Hant,medical_case,yian_cases,P,single_copy,
